interval,origin,destination,count
0,E13_24_EB,E2_6_SB,1
0,E19_20_NB,E3_12_NB,1
0,E1_2_WB,E20_22_SEB,1
0,E1_2_WB,E21_24_EB,3
0,E20_21_EB,E2_6_NB,1
0,E23_24_NB,E1_3_NB,2
0,E2_6_SB,E12_13_SB,1
0,E3_4_EB,E18_20_SWB,1
1,E19_20_NB,E3_12_NB,1
1,E1_2_EB,E12_13_SB,1
1,E1_2_WB,E20_22_SEB,2
1,E1_2_WB,E21_24_EB,2
1,E1_3_SB,E21_24_WB,1
1,E20_21_EB,E2_6_NB,3
1,E23_24_NB,E1_3_NB,1
1,E2_6_SB,E12_13_SB,2
1,E3_4_EB,E18_20_SWB,1
2,E13_24_EB,E2_6_SB,4
2,E19_20_NB,E3_12_NB,1
2,E1_2_EB,E12_13_SB,2
2,E1_2_WB,E20_22_SEB,1
2,E1_2_WB,E21_24_EB,1
2,E23_24_NB,E1_3_NB,4
2,E2_6_SB,E12_13_SB,2
2,E3_4_EB,E18_20_SWB,1
3,E13_24_EB,E2_6_SB,2
3,E19_20_NB,E3_12_NB,1
3,E1_2_EB,E12_13_SB,2
3,E1_2_WB,E21_24_EB,3
3,E1_3_SB,E21_24_WB,1
3,E20_21_EB,E2_6_NB,2
3,E23_24_NB,E1_3_NB,1
3,E2_6_SB,E12_13_SB,4
3,E3_4_EB,E18_20_SWB,1
4,E13_24_EB,E2_6_SB,3
4,E19_20_NB,E3_12_NB,1
4,E1_2_EB,E12_13_SB,2
4,E1_2_WB,E21_24_EB,1
4,E1_3_SB,E21_24_WB,3
4,E20_21_EB,E2_6_NB,1
4,E23_24_NB,E1_3_NB,2
4,E2_6_SB,E12_13_SB,2
4,E3_4_EB,E18_20_SWB,2
5,E13_24_EB,E2_6_SB,3
5,E19_20_NB,E3_12_NB,1
5,E1_2_EB,E12_13_SB,2
5,E1_2_WB,E21_24_EB,3
5,E1_3_SB,E21_24_WB,1
5,E23_24_NB,E1_3_NB,2
5,E2_6_SB,E12_13_SB,3
5,E3_4_EB,E18_20_SWB,2
6,E13_24_EB,E2_6_SB,1
6,E19_20_NB,E3_12_NB,2
6,E1_2_EB,E12_13_SB,3
6,E1_2_WB,E20_22_SEB,3
6,E1_2_WB,E21_24_EB,1
6,E23_24_NB,E1_3_NB,2
6,E2_6_SB,E12_13_SB,3
6,E3_4_EB,E18_20_SWB,1
7,E13_24_EB,E2_6_SB,2
7,E1_2_EB,E12_13_SB,1
7,E1_2_WB,E21_24_EB,1
7,E1_3_SB,E21_24_WB,1
7,E20_21_EB,E2_6_NB,2
7,E23_24_NB,E1_3_NB,2
7,E2_6_SB,E12_13_SB,2
7,E3_4_EB,E18_20_SWB,1
8,E13_24_EB,E2_6_SB,2
8,E19_20_NB,E3_12_NB,3
8,E1_2_WB,E20_22_SEB,2
8,E1_2_WB,E21_24_EB,1
8,E1_3_SB,E21_24_WB,4
8,E23_24_NB,E1_3_NB,2
8,E2_6_SB,E12_13_SB,1
8,E3_4_EB,E18_20_SWB,5
9,E13_24_EB,E2_6_SB,1
9,E19_20_NB,E3_12_NB,1
9,E1_2_EB,E12_13_SB,1
9,E1_2_WB,E20_22_SEB,1
9,E1_3_SB,E21_24_WB,1
9,E20_21_EB,E2_6_NB,2
9,E23_24_NB,E1_3_NB,5
9,E3_4_EB,E18_20_SWB,1
10,E19_20_NB,E3_12_NB,1
10,E1_2_EB,E12_13_SB,2
10,E1_2_WB,E20_22_SEB,1
10,E1_2_WB,E21_24_EB,2
10,E1_3_SB,E21_24_WB,2
10,E20_21_EB,E2_6_NB,1
10,E2_6_SB,E12_13_SB,2
10,E3_4_EB,E18_20_SWB,3
11,E13_24_EB,E2_6_SB,1
11,E19_20_NB,E3_12_NB,1
11,E1_2_EB,E12_13_SB,4
11,E1_2_WB,E20_22_SEB,3
11,E1_2_WB,E21_24_EB,3
11,E20_21_EB,E2_6_NB,3
11,E23_24_NB,E1_3_NB,3
11,E2_6_SB,E12_13_SB,1
11,E3_4_EB,E18_20_SWB,1
12,E13_24_EB,E2_6_SB,5
12,E1_2_EB,E12_13_SB,4
12,E1_2_WB,E20_22_SEB,2
12,E1_2_WB,E21_24_EB,2
12,E1_3_SB,E21_24_WB,1
12,E20_21_EB,E2_6_NB,2
12,E23_24_NB,E1_3_NB,1
12,E3_4_EB,E18_20_SWB,2
13,E13_24_EB,E2_6_SB,5
13,E1_2_WB,E21_24_EB,2
13,E1_3_SB,E21_24_WB,1
13,E23_24_NB,E1_3_NB,1
13,E2_6_SB,E12_13_SB,3
14,E13_24_EB,E2_6_SB,1
14,E19_20_NB,E3_12_NB,1
14,E1_2_EB,E12_13_SB,2
14,E1_2_WB,E20_22_SEB,3
14,E1_3_SB,E21_24_WB,1
14,E23_24_NB,E1_3_NB,1
14,E2_6_SB,E12_13_SB,2
14,E3_4_EB,E18_20_SWB,2
