origin,destination,count
E6_8_SB,E13_24_WB,26
E2_6_SB,E12_13_SB,50
E1_3_SB,E13_24_WB,40
E5_6_WB,E13_24_WB,43
E1_2_EB,E23_24_SB,40
E2_6_SB,E18_20_SWB,42
E1_3_SB,E20_21_EB,37
E1_2_WB,E13_24_WB,40
E13_24_EB,E2_6_NB,48
E1_3_SB,E19_20_SB,34
E20_22_NWB,E3_4_WB,19
E19_20_NB,E1_3_NB,42
E23_24_NB,E2_6_NB,43
E1_2_EB,E13_24_WB,32
E3_4_EB,E20_21_EB,37
E3_12_SB,E19_20_SB,36
E20_21_EB,E1_2_EB,39
E5_6_WB,E12_13_SB,38
E21_24_WB,E1_3_NB,37
E1_3_NB,E19_20_SB,37
E3_12_SB,E20_22_SEB,38
E20_21_EB,E1_3_NB,28
E1_2_EB,E21_22_SB,35
E3_4_EB,E18_20_SWB,35
E12_13_NB,E1_3_NB,34
E1_2_EB,E21_24_WB,33
E1_2_WB,E21_24_WB,37
E20_22_NWB,E1_2_WB,39
E1_2_EB,E13_24_EB,25
E23_24_NB,E1_2_WB,31
E1_2_EB,E18_20_SWB,37
E23_24_NB,E1_3_NB,41
E1_3_SB,E12_13_SB,39
E1_3_SB,E23_24_SB,36
E21_24_WB,E1_2_WB,42
E13_24_WB,E1_2_WB,20
E20_22_NWB,E1_3_NB,34
E1_3_SB,E20_22_SEB,38
E20_22_NWB,E2_6_NB,36
E1_3_NB,E18_20_SWB,39
E20_21_EB,E1_2_WB,43
E18_20_NEB,E1_2_WB,47
E19_20_NB,E1_2_EB,33
E1_2_WB,E20_21_EB,50
E1_2_EB,E12_13_SB,39
E1_3_SB,E18_20_SWB,27
E1_2_EB,E19_20_SB,41
E13_24_EB,E1_2_WB,27
E1_2_EB,E20_21_EB,46
E12_13_NB,E1_2_WB,37
