seed,demand,congestion_metric
42,1000,1.07201
42,1050,1.07802
42,1100,1.08699
42,1150,1.08769
42,1200,1.10284
42,1250,1.10917
42,1300,1.16539
42,1350,1.14775
42,1400,1.16216
42,1450,1.26351
42,1500,1.23134
42,1550,1.75268
42,1600,1.77649
42,1650,1.77412
42,1700,1.93721
42,1750,1.95914
42,1800,1.95521
42,1850,1.98024
42,1900,2.03211
42,1950,2.07255
42,2000,2.20493
42,2050,2.37657
42,2100,2.48676
42,2150,2.45682
42,2200,2.47536
42,2250,2.44803
42,2300,2.4428
42,2350,2.57918
42,2400,2.54776
42,2450,2.86189
24,1000,1.06716
24,1050,1.07242
24,1100,1.08971
24,1150,1.08463
24,1200,1.08947
24,1250,1.10079
24,1300,1.10023
24,1350,1.11518
24,1400,1.12563
24,1450,1.12806
24,1500,1.12955
24,1550,1.16814
24,1600,1.20081
24,1650,1.19371
24,1700,1.20118
24,1750,1.27441
24,1800,1.30593
24,1850,1.277
24,1900,1.39101
24,1950,1.35116
24,2000,1.7465
24,2050,2.12723
24,2100,2.95269
24,2150,3.00952
24,2200,3.39429
24,2250,4.29664
24,2300,4.02689
24,2350,5.4636
24,2400,4.26739
24,2450,4.69646
23,1000,1.03979
23,1050,1.04404
23,1100,1.04812
23,1150,1.04374
23,1200,1.05923
23,1250,1.05984
23,1300,1.0651
23,1350,1.06938
23,1400,1.07717
23,1450,1.08388
23,1500,1.10755
23,1550,1.10683
23,1600,1.12215
23,1650,1.14549
23,1700,1.20428
23,1750,1.3352
23,1800,1.62179
23,1850,1.66774
23,1900,1.75334
23,1950,1.76507
23,2000,1.75649
23,2050,1.8039
23,2100,1.81919
23,2150,1.88017
23,2200,1.96073
23,2250,1.91905
23,2300,1.98193
23,2350,2.01959
23,2400,2.01642
23,2450,2.04513
1999,1000,1.07498
1999,1050,1.07371
1999,1100,1.10867
1999,1150,1.09602
1999,1200,1.09135
1999,1250,1.12368
1999,1300,1.15686
1999,1350,1.1474
1999,1400,1.17431
1999,1450,1.21821
1999,1500,1.37464
1999,1550,1.35235
1999,1600,1.37223
1999,1650,1.45812
1999,1700,1.57631
1999,1750,1.75364
1999,1800,2.20829
1999,1850,2.46897
1999,1900,2.34543
1999,1950,3.02914
1999,2000,3.20821
1999,2050,3.08219
1999,2100,3.16668
1999,2150,3.54921
1999,2200,3.46868
1999,2250,3.50849
1999,2300,3.54688
1999,2350,3.70918
1999,2400,3.72159
1999,2450,3.73916
8,1000,1.05033
8,1050,1.0498
8,1100,1.05305
8,1150,1.05917
8,1200,1.06225
8,1250,1.06043
8,1300,1.06325
8,1350,1.07489
8,1400,1.06897
8,1450,1.07791
8,1500,1.08435
8,1550,1.08741
8,1600,1.08637
8,1650,1.09979
8,1700,1.11607
8,1750,1.1074
8,1800,1.11171
8,1850,1.11334
8,1900,1.12995
8,1950,1.14411
8,2000,1.16008
8,2050,1.18125
8,2100,1.15615
8,2150,1.17287
8,2200,1.19413
8,2250,1.21568
8,2300,1.38585
8,2350,1.59692
8,2400,1.53552
8,2450,1.53383
